customer_id,customer_name,customer_country,customer_state,customer_segment
20755,Cally Holloway,Puerto Rico,PR,Consumer
19492,Irene Luna,Puerto Rico,PR,Consumer
19491,Gillian Maldonado,USA,CA,Consumer
19490,Tana Tate,USA,CA,Home Office
19489,Orli Hendricks,Puerto Rico,PR,Corporate
19488,Kimberly Flowers,USA,NY,Consumer
19487,Constance Terrell,Puerto Rico,PR,Home Office
19486,Erica Stevens,USA,FL,Corporate
19485,Nichole Olsen,Puerto Rico,PR,Corporate
19484,Oprah Delacruz,USA,CA,Corporate
19483,Germane Short,Puerto Rico,PR,Corporate
19482,Freya Robbins,USA,NY,Consumer
19481,Cassandra Jensen,USA,CA,Corporate
19480,Natalie Mcfadden,Puerto Rico,PR,Corporate
19479,Kimberley Sharpe,USA,MA,Corporate
19478,Sade Lancaster,Puerto Rico,PR,Corporate
19477,Brynne Giles,Puerto Rico,PR,Corporate
19476,Ciara Bird,USA,CA,Corporate
19475,Bo Griffin,Puerto Rico,PR,Consumer
19474,Kim Simon,USA,IL,Consumer
19473,Kellie Farmer,USA,CA,Corporate
19472,Alma Conley,Puerto Rico,PR,Corporate
19471,Yeo Bird,USA,CA,Corporate
19470,Lucy Mcknight,Puerto Rico,PR,Corporate
19469,Simone Vance,USA,MT,Corporate
19468,Roary Wheeler,Puerto Rico,PR,Corporate
19467,Quail Ashley,USA,PA,Consumer
19466,Hannah Velez,Puerto Rico,PR,Corporate
19465,Evelyn Kelly,USA,MI,Corporate
19464,Jael Mcfarland,USA,CA,Consumer
19463,Teagan Romero,Puerto Rico,PR,Consumer
19462,Joan Wilder,USA,IL,Consumer
19461,Basia Watts,Puerto Rico,PR,Consumer
19460,Dominique Rogers,USA,MI,Consumer
19459,Ainsley Mathis,USA,TX,Consumer
19458,Aurora Sharp,Puerto Rico,PR,Corporate
19457,Libby Bray,USA,PA,Corporate
19456,Amy Lindsay,USA,TX,Corporate
19455,Ivory Parks,Puerto Rico,PR,Consumer
19454,Karina Prince,USA,DE,Consumer
19453,Deanna Goff,USA,CA,Consumer
19452,Dacey Walters,Puerto Rico,PR,Home Office
